имя_файла,дата_обработки,форма_лба,положение_бровей,форма_головы,ошибка,соотношение_лба,средняя_высота_бровей,соотношение_головы
Клавдия Гладких (5).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,7.18,37.7,1.1
Клавдия Гладких (6).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,12.41,17.3,0.99
Клавдия Гладких (7).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,10.32,24.8,1.2
Кристина Урбан (10).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,18.32,23.1,1.48
Кристина Урбан (12).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,10.17,17.8,1.23
Кристина Урбан (13).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,12.03,25.7,1.28
Кристина Урбан (14).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,9.28,20.7,1.2
Кристина Урбан (17).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,11.16,19.5,1.26
Кристина Урбан (18).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,6.66,18.3,1.07
Кристина Урбан (2).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,10.92,21.0,1.26
Кристина Урбан (3).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,6.65,22.7,1.06
Кристина Урбан (4).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,11.58,19.3,1.27
Кристина Урбан (5).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,13.91,17.3,1.36
Кристина Урбан (6).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,9.81,20.8,1.2
Кристина Урбан (7).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,11.14,20.9,1.27
Кристина Урбан (8).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,7.74,20.2,1.13
Кристина Урбан (9).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,10.57,20.4,1.24
кристина урбан 2.jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,6.52,19.9,1.06
Лемби УЛЬФСАК (1).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,7.32,40.6,1.1
Лемби УЛЬФСАК (2).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,10.35,20.2,1.18
Лемби УЛЬФСАК (3).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,6.71,27.1,1.07
Лемби УЛЬФСАК (4).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,8.2,18.5,1.12
Лемби УЛЬФСАК (5).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,12.19,37.1,1.26
Лена Вольдейт (1).jpg,2025-04-17 15:48:46,прямоугольный,низкие,горизонтальная,,12.47,10.3,1.3
Лена Вольдейт (2).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,9.34,59.1,1.19
Лена Вольдейт (3).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,5.84,30.3,1.02
Лена Вольдейт (4).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,5.93,20.3,1.03
Лена Вольдейт (5).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,6.31,68.7,1.05
Леонид Гайдай (1).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,6.36,16.5,1.05
Леонид Гайдай (3).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,11.56,17.1,1.25
Леонид Гайдай (4).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,13.2,20.9,1.31
Леонид Гайдай (5).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,12.46,16.5,1.3
Леонид Гайдай (6).jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,8.16,19.8,1.12
Леонид Парфенов0.jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,7.86,17.6,1.11
Леонид Парфенов2.jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,10.32,21.6,1.2
Леонид Парфенов3.jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,8.84,17.5,1.16
Леонид Парфенов4.jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,10.71,18.5,1.21
Леонид Парфенов5.jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,12.52,25.6,1.28
Леонид Парфенов6.jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,10.92,20.3,1.14
Леонид Парфенов7.jpg,2025-04-17 15:48:46,прямоугольный,высокие,горизонтальная,,6.4,20.7,1.05
Леонид Парфенов8.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,15.34,19.7,1.39
Леонид Парфенов9.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,8.54,22.3,1.13
Лиза Панёвкина (1).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,11.05,28.3,1.24
Лиза Панёвкина (2).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,11.74,111.0,1.23
Лиза Панёвкина (3).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,8.76,22.8,1.16
Лиза Панёвкина (4).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,10.61,25.1,1.22
Лиза Панёвкина (5).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,9.42,35.3,1.18
Лиза Панёвкина (6).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,10.87,64.1,1.25
Лиза Панёвкина (7).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,9.53,18.4,1.18
Лобанов Егор1 (1).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,12.64,39.6,1.31
Лобанов Егор3.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,9.07,17.6,1.17
Майкл Фелпс1.jpg,2025-04-17 15:48:47,прямоугольный,низкие,горизонтальная,,10.45,12.8,1.22
Майкл Фелпс3.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,10.24,15.4,1.22
Майкл Фелпс5.jpg,2025-04-17 15:48:47,прямоугольный,низкие,горизонтальная,,10.77,14.9,1.23
Майкл Фелпсы3.jpg,2025-04-17 15:48:47,прямоугольный,низкие,горизонтальная,,3.92,12.3,0.92
Майкл Фелпсы3а.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,9.19,48.2,0.75
Майкл Фелпсы3ав.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,9.17,24.0,0.76
Майкл Фелпсы3в.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,9.07,36.6,1.16
Майкл Фелпсы3па.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,9.13,34.2,1.18
Маргарита Шафорост (1).jpg,2025-04-17 15:48:47,не определено,не определено,не определено,Лицо не обнаружено
Маргарита Шафорост (10).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,10.71,42.0,1.13
Маргарита Шафорост (11).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,10.64,26.5,1.25
Маргарита Шафорост (12).jpg,2025-04-17 15:48:47,прямоугольный,низкие,горизонтальная,,11.52,14.6,1.24
Маргарита Шафорост (4).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,5.58,79.1,1.02
Маргарита Шафорост (5).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,7.85,36.6,1.1
Маргарита Шафорост (6).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,5.96,27.8,1.04
Маргарита Шафорост (7).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,13.97,52.7,1.28
Маргарита Шафорост (8).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,5.74,51.4,1.03
Маргарита Шафорост (9).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,4.8,40.9,0.98
Мария Овсянникова.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,8.07,17.7,1.13
Мария Овсянникова1.jpg,2025-04-17 15:48:47,прямоугольный,низкие,горизонтальная,,9.02,14.0,1.18
Мария Овсянникова10.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,8.45,17.0,1.17
Мария Овсянникова11.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,8.98,18.3,1.19
Мария Овсянникова12.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,8.03,17.4,1.13
Мария Овсянникова13.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,8.88,18.2,1.16
Мария Овсянникова14.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,6.67,18.0,1.07
Мария Овсянникова15.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,7.66,18.0,1.12
Мария Овсянникова16.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,5.79,18.0,1.02
Мария Овсянникова17.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,5.45,19.7,1.0
Мария Овсянникова18.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,7.37,21.6,1.09
Мария Овсянникова2.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,7.86,16.0,1.13
Мария Овсянникова3.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,5.8,21.0,1.03
Мария Овсянникова4.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,8.77,16.9,1.16
Мария Овсянникова7.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,20.3,22.8,1.55
Мария Овсянникова8.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,8.6,18.7,1.16
Мария Овсянникова9.jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,6.7,17.6,1.07
Мария Черепанова (1).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,10.02,37.4,1.22
Мария Черепанова (10).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,9.15,57.7,1.15
Мария Черепанова (11).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,11.42,77.4,1.26
Мария Черепанова (12).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,12.66,57.8,1.31
Мария Черепанова (13).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,10.62,64.9,1.23
Мария Черепанова (2).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,13.3,20.7,1.12
Мария Черепанова (3).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,10.06,50.6,1.21
Мария Черепанова (4).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,10.38,20.0,1.22
Мария Черепанова (5).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,9.56,64.6,1.19
Мария Черепанова (6).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,7.68,61.1,1.11
Мария Черепанова (7).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,9.43,60.9,1.18
Мария Черепанова (8).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,9.62,62.6,1.2
Мария Черепанова (9).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,10.26,24.9,1.22
Матей Кежман.jpg,2025-04-17 15:48:47,прямоугольный,низкие,горизонтальная,,8.78,14.4,1.16
Маттей Кежман (2).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,9.52,16.7,1.17
Маттей Кежман (3).jpg,2025-04-17 15:48:47,прямоугольный,низкие,горизонтальная,,9.59,14.5,1.19
Маша Стрелецкая (10).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,5.63,107.1,1.02
Маша Стрелецкая (11).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,11.0,73.5,1.06
Маша Стрелецкая (12).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,11.56,64.4,1.27
Маша Стрелецкая (13).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,13.83,45.0,1.3
Маша Стрелецкая (16).jpg,2025-04-17 15:48:47,не определено,не определено,не определено,Лицо не обнаружено
Маша Стрелецкая (17).jpg,2025-04-17 15:48:47,не определено,не определено,не определено,Лицо не обнаружено
Маша Стрелецкая (18).jpg,2025-04-17 15:48:47,прямоугольный,высокие,горизонтальная,,15.05,75.5,1.45
Маша Стрелецкая (2).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,16.07,16.8,1.4
Маша Стрелецкая (3).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,5.27,85.8,1.0
Маша Стрелецкая (4).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,12.14,29.3,1.29
Маша Стрелецкая (5).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,13.35,27.3,1.34
Маша Стрелецкая (6).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,4.75,48.3,0.98
Маша Стрелецкая (7).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,8.29,64.5,1.14
Маша Стрелецкая (8).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,15.68,86.1,1.4
Маша Стрелецкая (9).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,7.19,84.2,1.09
Микаел_Асатурович_Гюлхасян.jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,8.25,16.5,1.15
Милакова.jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,8.56,20.4,1.15
Михаил Гельфанд (1).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,6.63,99.6,1.06
Михаил Гельфанд (2).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,9.19,39.2,1.17
Михаил Гельфанд (3).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,14.93,138.4,1.3
Михаил Гельфанд (4).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,11.81,33.2,1.27
Моисеева З (1).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,9.58,41.0,1.2
Моисеева З (2).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,8.81,33.9,1.17
Моисеева З (3).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,10.32,33.5,1.24
Наталия Ярулина (10).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,11.72,33.2,1.26
Наталия Ярулина (11).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,8.15,23.6,1.12
Наталия Ярулина (12).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,9.69,51.3,1.18
Наталия Ярулина (13).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,9.02,28.7,1.16
Наталия Ярулина (14).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,13.0,88.2,1.3
Наталия Ярулина (2).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,10.98,25.3,1.24
Наталия Ярулина (3).jpg,2025-04-17 15:48:48,прямоугольный,низкие,горизонтальная,,8.74,10.2,1.16
Наталия Ярулина (4).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,9.65,33.2,1.18
Наталия Ярулина (5).jpg,2025-04-17 15:48:48,прямоугольный,высокие,вертикальная,,8.14,23.6,0.54
Наталия Ярулина (6).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,12.22,54.2,1.27
Наталия Ярулина (7).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,11.24,86.5,1.24
Наталия Ярулина (9).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,13.03,90.4,1.28
Наталья Кошелева (1).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,9.9,116.9,1.19
Наталья Кошелева (10).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,4.2,28.5,0.93
Наталья Кошелева (11).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,9.21,58.4,1.16
Наталья Кошелева (13).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,8.28,62.5,1.13
Наталья Кошелева (14).jpg,2025-04-17 15:48:48,прямоугольный,низкие,горизонтальная,,11.69,11.9,0.84
Наталья Кошелева (15).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,12.05,70.9,1.28
Наталья Кошелева (2).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,7.98,69.1,1.12
Наталья Кошелева (20).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,8.73,48.1,1.14
Наталья Кошелева (21).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,7.49,66.9,1.1
Наталья Кошелева (22).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,8.59,86.2,1.14
Наталья Кошелева (23).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,7.53,108.3,1.1
Наталья Кошелева (3).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,8.47,33.8,1.14
Наталья Кошелева (4).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,7.36,70.0,1.09
Наталья Кошелева (5).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,9.81,69.2,1.19
Наталья Кошелева (6).jpg,2025-04-17 15:48:48,не определено,не определено,не определено,Лицо не обнаружено
Наталья Кошелева (7).jpg,2025-04-17 15:48:48,не определено,не определено,не определено,Лицо не обнаружено
Наталья Кошелева (9).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,7.33,51.2,1.09
Наталья Кузнецова.jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,8.57,69.9,1.16
Николаев.jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,12.6,18.3,1.29
Николаев12.jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,8.69,18.4,1.16
Николаев13.jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,14.46,24.7,1.35
Николаев1а2.jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,11.57,21.6,0.89
Николаев25.jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,6.51,18.9,1.06
Николаев56.jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,10.62,96.6,0.95
Нина Амбарникова (1).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,12.39,64.1,1.25
Нина Амбарникова (10).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,14.9,16.6,1.35
Нина Амбарникова (11).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,11.98,54.3,1.29
Нина Амбарникова (2).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,7.75,83.5,1.11
Нина Амбарникова (3).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,14.72,56.5,1.39
Нина Амбарникова (4).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,11.85,37.6,1.27
Нина Амбарникова (5).jpg,2025-04-17 15:48:48,прямоугольный,низкие,горизонтальная,,5.66,14.6,1.01
Нина Амбарникова (7).jpg,2025-04-17 15:48:48,прямоугольный,высокие,вертикальная,,8.76,58.0,0.61
Нина Амбарникова (8).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,8.29,46.3,1.15
Нина Амбарникова (9).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,11.45,45.0,1.27
Ольга Завертунова (1).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,7.52,67.1,1.11
Ольга Завертунова (10).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,6.63,49.4,1.07
Ольга Завертунова (11).jpg,2025-04-17 15:48:48,прямоугольный,высокие,горизонтальная,,6.58,48.0,1.06
Ольга Завертунова (12).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,12.21,112.1,1.29
Ольга Завертунова (2).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,10.9,23.5,1.23
Ольга Завертунова (3).jpg,2025-04-17 15:48:49,прямоугольный,низкие,горизонтальная,,10.66,14.9,1.23
Ольга Завертунова (4).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,11.94,19.3,1.26
Ольга Завертунова (5).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,9.73,78.2,1.2
Ольга Завертунова (6).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,7.47,48.5,1.11
Ольга Завертунова (7).jpg,2025-04-17 15:48:49,прямоугольный,низкие,горизонтальная,,9.78,8.9,1.19
Ольга Завертунова (8).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,6.0,18.7,1.03
Ольга Завертунова (9).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,11.17,24.8,1.24
Ольга Завертунова.jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,6.96,43.1,1.08
Ольга Солдатова (1).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,5.28,20.1,0.99
Ольга Солдатова (2).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,15.17,29.3,1.4
Ольга Солдатова (3).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,16.45,25.2,1.42
Ольга Солдатова (4).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,6.22,19.3,1.05
Ольга Солдатова (5).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,8.43,49.8,1.15
Ольга Солдатова (6).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,7.0,37.1,1.08
Ольга Сурикова (1).jpg,2025-04-17 15:48:49,прямоугольный,низкие,горизонтальная,,8.46,13.4,1.14
Ольга Сурикова (2).jpg,2025-04-17 15:48:49,прямоугольный,низкие,горизонтальная,,9.02,11.3,1.18
Ольга Сурикова (3).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,16.2,34.9,1.41
Ольга Сурикова (4).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,7.92,30.9,1.14
Ольга Сурикова (5).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,12.14,32.3,1.28
Ольга Сурикова (6).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,8.84,38.3,1.18
Ольга Сурикова (7).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,10.62,37.4,1.24
Ольга Сурикова (8).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,11.31,43.5,1.26
Ольга Шарунова (14).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,7.72,47.2,1.11
Оля Голубева (1).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,12.56,98.8,1.19
Оля Голубева (2).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,14.13,30.4,1.32
Оля Голубева (3).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,5.93,45.8,1.05
Оля Голубева (4).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,5.55,32.3,1.0
Оля Голубева (5).jpg,2025-04-17 15:48:49,прямоугольный,низкие,горизонтальная,,10.57,13.2,1.24
Оля Голубева (6).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,11.84,20.6,0.87
Оля Голубева (7).jpg,2025-04-17 15:48:49,прямоугольный,низкие,горизонтальная,,8.8,3.9,0.99
Оля Голубева (8).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,12.59,58.0,1.22
Оля Седых.jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,6.49,16.4,1.07
Павел Каныгин.jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,15.99,20.9,1.32
Павел Каныгин1.jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,9.3,18.3,1.19
павел каныгин2.jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,6.55,17.0,1.06
Полине Евтушенко (1).jpg,2025-04-17 15:48:49,прямоугольный,низкие,горизонтальная,,12.83,8.6,1.28
Полине Евтушенко (2).jpg,2025-04-17 15:48:49,прямоугольный,низкие,горизонтальная,,14.63,11.8,1.36
Полине Евтушенко (3).jpg,2025-04-17 15:48:49,прямоугольный,низкие,горизонтальная,,7.98,11.6,1.15
Прокопенко.jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,8.25,18.1,1.13
Прокопенко1.jpg,2025-04-17 15:48:49,прямоугольный,низкие,горизонтальная,,8.23,11.1,1.14
Прокопенко10.jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,8.6,18.3,1.15
Прокопенко2.jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,7.09,19.8,1.09
Прокопенко3.jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,8.79,16.0,1.16
Прокопенко4.jpg,2025-04-17 15:48:49,прямоугольный,низкие,горизонтальная,,7.69,10.2,1.1
Прокопенко5.jpg,2025-04-17 15:48:49,прямоугольный,низкие,горизонтальная,,8.17,9.7,1.13
Прокопенко6.jpg,2025-04-17 15:48:49,прямоугольный,низкие,горизонтальная,,7.85,12.6,1.12
Прокопенко7.jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,7.78,15.3,1.12
Прокопенко8.jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,8.53,19.6,1.14
Прокопенко9.jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,8.69,32.0,1.15
сванте паабо.jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,3.92,24.2,0.92
Светлана Гонца (1).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,7.21,49.8,1.1
Светлана Гонца (10).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,17.65,34.5,1.46
Светлана Гонца (2).jpg,2025-04-17 15:48:49,не определено,не определено,не определено,Лицо не обнаружено
Светлана Гонца (3).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,12.74,19.1,1.3
Светлана Гонца (4).jpg,2025-04-17 15:48:49,прямоугольный,низкие,горизонтальная,,3.07,6.3,0.88
Светлана Гонца (5).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,12.45,18.3,1.28
Светлана Гонца (6).jpg,2025-04-17 15:48:49,прямоугольный,высокие,горизонтальная,,9.58,15.8,1.2
Светлана Гонца (7).jpg,2025-04-17 15:48:49,прямоугольный,низкие,горизонтальная,,13.25,9.0,1.31
